INDV1	INDV2	DIST
dip_bal_001	dip_bal_002	324
dip_bal_001	dip_bal_003	324
dip_bal_002	dip_bal_003	1
dip_bal_001	dip_bal_004	324
dip_bal_002	dip_bal_004	1
dip_bal_003	dip_bal_004	0
dip_bal_001	dip_bal_005	324
dip_bal_002	dip_bal_005	1
dip_bal_003	dip_bal_005	0
dip_bal_004	dip_bal_005	0
dip_bal_001	dip_bal_006	324
dip_bal_002	dip_bal_006	1
dip_bal_003	dip_bal_006	0
dip_bal_004	dip_bal_006	0
dip_bal_005	dip_bal_006	0
dip_bal_001	dip_bal_007	324
dip_bal_002	dip_bal_007	1
dip_bal_003	dip_bal_007	0
dip_bal_004	dip_bal_007	0
dip_bal_005	dip_bal_007	0
dip_bal_006	dip_bal_007	0
dip_bal_001	dip_bal_009	324
dip_bal_002	dip_bal_009	1
dip_bal_003	dip_bal_009	0
dip_bal_004	dip_bal_009	0
dip_bal_005	dip_bal_009	0
dip_bal_006	dip_bal_009	0
dip_bal_007	dip_bal_009	0
dip_bal_001	dip_bal_010	327
dip_bal_002	dip_bal_010	3
dip_bal_003	dip_bal_010	2
dip_bal_004	dip_bal_010	2
dip_bal_005	dip_bal_010	2
dip_bal_006	dip_bal_010	2
dip_bal_007	dip_bal_010	2
dip_bal_009	dip_bal_010	2
dip_bal_001	dip_bal_011	327
dip_bal_002	dip_bal_011	3
dip_bal_003	dip_bal_011	2
dip_bal_004	dip_bal_011	2
dip_bal_005	dip_bal_011	2
dip_bal_006	dip_bal_011	2
dip_bal_007	dip_bal_011	2
dip_bal_009	dip_bal_011	2
dip_bal_010	dip_bal_011	0
dip_bal_001	dip_bal_012	327
dip_bal_002	dip_bal_012	3
dip_bal_003	dip_bal_012	2
dip_bal_004	dip_bal_012	2
dip_bal_005	dip_bal_012	2
dip_bal_006	dip_bal_012	2
dip_bal_007	dip_bal_012	2
dip_bal_009	dip_bal_012	2
dip_bal_010	dip_bal_012	0
dip_bal_011	dip_bal_012	0
dip_bal_001	dip_bal_013	325
dip_bal_002	dip_bal_013	1
dip_bal_003	dip_bal_013	1
dip_bal_004	dip_bal_013	1
dip_bal_005	dip_bal_013	1
dip_bal_006	dip_bal_013	1
dip_bal_007	dip_bal_013	1
dip_bal_009	dip_bal_013	1
dip_bal_010	dip_bal_013	2
dip_bal_011	dip_bal_013	2
dip_bal_012	dip_bal_013	2
dip_bal_001	dip_bal_014	325
dip_bal_002	dip_bal_014	1
dip_bal_003	dip_bal_014	1
dip_bal_004	dip_bal_014	1
dip_bal_005	dip_bal_014	1
dip_bal_006	dip_bal_014	1
dip_bal_007	dip_bal_014	1
dip_bal_009	dip_bal_014	1
dip_bal_010	dip_bal_014	2
dip_bal_011	dip_bal_014	2
dip_bal_012	dip_bal_014	2
dip_bal_013	dip_bal_014	0
dip_bal_001	dip_bal_015	325
dip_bal_002	dip_bal_015	1
dip_bal_003	dip_bal_015	1
dip_bal_004	dip_bal_015	1
dip_bal_005	dip_bal_015	1
dip_bal_006	dip_bal_015	1
dip_bal_007	dip_bal_015	1
dip_bal_009	dip_bal_015	1
dip_bal_010	dip_bal_015	2
dip_bal_011	dip_bal_015	2
dip_bal_012	dip_bal_015	2
dip_bal_013	dip_bal_015	0
dip_bal_014	dip_bal_015	0
dip_bal_001	dip_bal_016	325
dip_bal_002	dip_bal_016	1
dip_bal_003	dip_bal_016	1
dip_bal_004	dip_bal_016	1
dip_bal_005	dip_bal_016	1
dip_bal_006	dip_bal_016	1
dip_bal_007	dip_bal_016	1
dip_bal_009	dip_bal_016	1
dip_bal_010	dip_bal_016	2
dip_bal_011	dip_bal_016	2
dip_bal_012	dip_bal_016	2
dip_bal_013	dip_bal_016	0
dip_bal_014	dip_bal_016	0
dip_bal_015	dip_bal_016	0
dip_bal_001	dip_bal_017	325
dip_bal_002	dip_bal_017	1
dip_bal_003	dip_bal_017	1
dip_bal_004	dip_bal_017	1
dip_bal_005	dip_bal_017	1
dip_bal_006	dip_bal_017	1
dip_bal_007	dip_bal_017	1
dip_bal_009	dip_bal_017	1
dip_bal_010	dip_bal_017	2
dip_bal_011	dip_bal_017	2
dip_bal_012	dip_bal_017	2
dip_bal_013	dip_bal_017	0
dip_bal_014	dip_bal_017	0
dip_bal_015	dip_bal_017	0
dip_bal_016	dip_bal_017	0
dip_bal_001	dip_bal_018	324
dip_bal_002	dip_bal_018	1
dip_bal_003	dip_bal_018	0
dip_bal_004	dip_bal_018	0
dip_bal_005	dip_bal_018	0
dip_bal_006	dip_bal_018	0
dip_bal_007	dip_bal_018	0
dip_bal_009	dip_bal_018	0
dip_bal_010	dip_bal_018	2
dip_bal_011	dip_bal_018	2
dip_bal_012	dip_bal_018	2
dip_bal_013	dip_bal_018	1
dip_bal_014	dip_bal_018	1
dip_bal_015	dip_bal_018	1
dip_bal_016	dip_bal_018	1
dip_bal_017	dip_bal_018	1
dip_bal_001	dip_bal_019	324
dip_bal_002	dip_bal_019	1
dip_bal_003	dip_bal_019	0
dip_bal_004	dip_bal_019	0
dip_bal_005	dip_bal_019	0
dip_bal_006	dip_bal_019	0
dip_bal_007	dip_bal_019	0
dip_bal_009	dip_bal_019	0
dip_bal_010	dip_bal_019	2
dip_bal_011	dip_bal_019	2
dip_bal_012	dip_bal_019	2
dip_bal_013	dip_bal_019	1
dip_bal_014	dip_bal_019	1
dip_bal_015	dip_bal_019	1
dip_bal_016	dip_bal_019	1
dip_bal_017	dip_bal_019	1
dip_bal_018	dip_bal_019	0
dip_bal_001	dip_bal_020	324
dip_bal_002	dip_bal_020	1
dip_bal_003	dip_bal_020	0
dip_bal_004	dip_bal_020	0
dip_bal_005	dip_bal_020	0
dip_bal_006	dip_bal_020	0
dip_bal_007	dip_bal_020	0
dip_bal_009	dip_bal_020	0
dip_bal_010	dip_bal_020	2
dip_bal_011	dip_bal_020	2
dip_bal_012	dip_bal_020	2
dip_bal_013	dip_bal_020	1
dip_bal_014	dip_bal_020	1
dip_bal_015	dip_bal_020	1
dip_bal_016	dip_bal_020	1
dip_bal_017	dip_bal_020	1
dip_bal_018	dip_bal_020	0
dip_bal_019	dip_bal_020	0
dip_bal_001	dip_bal_021	324
dip_bal_002	dip_bal_021	1
dip_bal_003	dip_bal_021	0
dip_bal_004	dip_bal_021	0
dip_bal_005	dip_bal_021	0
dip_bal_006	dip_bal_021	0
dip_bal_007	dip_bal_021	0
dip_bal_009	dip_bal_021	0
dip_bal_010	dip_bal_021	2
dip_bal_011	dip_bal_021	2
dip_bal_012	dip_bal_021	2
dip_bal_013	dip_bal_021	1
dip_bal_014	dip_bal_021	1
dip_bal_015	dip_bal_021	1
dip_bal_016	dip_bal_021	1
dip_bal_017	dip_bal_021	1
dip_bal_018	dip_bal_021	0
dip_bal_019	dip_bal_021	0
dip_bal_020	dip_bal_021	0
dip_bal_001	dip_bal_022	324
dip_bal_002	dip_bal_022	1
dip_bal_003	dip_bal_022	0
dip_bal_004	dip_bal_022	0
dip_bal_005	dip_bal_022	0
dip_bal_006	dip_bal_022	0
dip_bal_007	dip_bal_022	0
dip_bal_009	dip_bal_022	0
dip_bal_010	dip_bal_022	2
dip_bal_011	dip_bal_022	2
dip_bal_012	dip_bal_022	2
dip_bal_013	dip_bal_022	1
dip_bal_014	dip_bal_022	1
dip_bal_015	dip_bal_022	1
dip_bal_016	dip_bal_022	1
dip_bal_017	dip_bal_022	1
dip_bal_018	dip_bal_022	0
dip_bal_019	dip_bal_022	0
dip_bal_020	dip_bal_022	0
