IND	LAT	LON
dip_bal_001	39.91635	4.28736667
dip_bal_002	39.9008666667	0.68685
dip_bal_003	39.8991333333	0.68796667
dip_bal_004	39.8937166667	0.68678333
dip_bal_005	39.8937166667	0.68678333
dip_bal_006	39.8937166667	0.68678333
dip_bal_007	39.8937166667	0.68678333
dip_bal_009	39.8937166667	0.68678333
dip_bal_010	39.8894333333	0.66713333
dip_bal_011	39.8894333333	0.66713333
dip_bal_012	39.8894333333	0.66713333
dip_bal_013	39.89425	0.68348333
dip_bal_014	39.89425	0.68348333
dip_bal_015	39.89425	0.68348333
dip_bal_016	39.89425	0.68348333
dip_bal_017	39.89425	0.68348333
dip_bal_018	39.8935833333	0.6867
dip_bal_019	39.8935833333	0.6867
dip_bal_020	39.8935833333	0.6867
dip_bal_021	39.8935833333	0.6867
dip_bal_022	39.8935833333	0.6867
dip_bal_023	39.8935833333	0.6867
dip_bal_024	39.8935833333	0.6867
dip_bal_025	39.8935833333	0.6867
dip_bal_026	39.87595	0.66985
dip_bal_027	39.87595	0.66985
dip_bal_028	39.87595	0.66985
dip_bal_029	39.87595	0.66985
dip_bal_030	39.87595	0.66985
dip_bal_031	39.87595	0.66985
dip_bal_037	39.5466333333	2.60756667
dip_bal_045	39.7965333333	3.20068333
dip_bal_048	39.8516333333	3.24978333
dip_bal_053	39.7846333333	2.66493333
dip_bal_054	39.5400166667	3.34476667
dip_bal_056	39.7673333333	3.20228333
dip_bal_060	39.64285	3.44981667
dip_bal_061	39.8047166667	3.31376667
dip_bal_062	39.8198833333	3.33553333
dip_bal_063	39.8117166667	2.70521667
dip_bal_065	39.8460833333	3.21636667
dip_bal_067	39.5171666667	2.70458333
dip_bal_071	39.8804166667	3.17303333
dip_bal_072	39.644	3.4708
dip_bal_073	39.6521833333	3.47445
dip_bal_074	39.6556166667	3.4722
dip_bal_077	39.6602333333	3.47308333
dip_bal_078	39.6726833333	3.48366667
dip_bal_079	39.6795	3.49015
dip_bal_080	39.7010833333	3.48975
dip_bal_081	39.69935	3.48303333
dip_bal_082	39.9983333333	4.22935
dip_bal_083	39.7731333333	3.42073333
dip_bal_084	39.7756166667	3.41446667
dip_bal_085	39.7756166667	3.41446667
